site,year,month_year,date,patch,plot,subplot,PIUV_less5cmDBH_total,PIUV_less130cm_total,PIUV_5to130_total,PIUV_less5cm,PIUV_greatequal5cm,PIUV_5to30cm,PIUV_31to130cm,PIUV_great130cm,soil_to40cm,soil2,nst_height_m,nst_dist_m,nst_dir,stpres_5m,stmh_5m,cnt_stmh_5m,stpres_10m,stmh_10m,cnt_stmh_10m,stpres_20m,stmh_20m,cnt_stmh_20m,light_cond,par_time,par0.3,par1.3,dwt1,dwt2,dwt3,dwt_eqgreat0,pool_pres,pool,bare_ground,litter,wood,trunk,Dicran,Sphagnum,om,cush_spp,sub_dom,NMDS_axis1,NMDS_axis2,NMDS_axis3,OS_less30cm,OS_31to130,OS_great130cm,OS_total,Plot_PIUVcnt,logpar0.3_resid,logpar1.3_resid,logparratio_resid,subNMDS_a1,subNMDS_a2,subNMDS_a3,us_emshr,us_shrubs,us_trees
RMB,2017,17-Jan,1/15/2017,Bog,B01,B0101,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,1,1 to 2,1 to 2,1,1 to 2,1 to 2,1,1 to 2,6 to 12,OC,9:42:00,867,1027,27,25,22,0,0,0,0,1,0,0,0,100,0,0,Sphagnum,-0.7814,-0.4285,0.7005,18,12,1,31,0,0.078745377,0.187340606,0.066671865,1.2303,0.73233,0.07156,11.5,1.5,1.5
RMB,2017,17-Jan,1/15/2017,Bog,B01,B0102,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,1,less than 1,1 to 2,1,less than 1,1 to 2,1,1 to 2,6 to 12,OC,11:47:00,1244,796,-5,20,25,1,1,20,0,1,0,0,0,45,1,35,Sphagnum-cush,-1.1655,-0.1399,-0.0018,0,0,0,0,0,-0.00324039,-0.174489517,-0.200786794,1.1374,-0.3144,0.22002,41.0,35.5,0.5
RMB,2017,17-Jan,1/15/2017,Bog,B01,B0103,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,1,1 to 2,1 to 2,1,1 to 2,1 to 2,1,1 to 2,6 to 12,OC,12:44:00,1448,1485,28,17,-5,1,1,35,0,1,0,0,0,20,35,10,Other moss-Sphagnum-cush,-0.966,-0.286,-0.2672,1,0,0,1,0,0.001643841,0.031073063,0.004078411,0.3516,-0.57565,-0.15189,27.0,15.5,1
RMB,2017,17-Jan,1/15/2017,Bog,B01,B0104,3,3,3,0,3,3,0,0,Peat,Peat,NA,NA,NA,0,none,none,1,less than 1,1 to 2,1,1 to 2,6 to 12,OC,13:44:00,1350,1399,10,22,11,0,1,5,0,1,0,0,0,20,15,55,Cush-Sphagnum,-1.1129,0.0275,-0.3677,8,1,0,9,0,-0.044483855,-0.012964371,0.008604465,0.7191,-0.65041,0.69361,51.5,35.5,1.5
RMB,2017,17-Jan,1/24/2017,Bog,B02,B0201,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,0,none,none,1,1 to 2,NA,1,1 to 2,NA,"OC, PS",11:35:00,1027,1048,1,9,12,0,1,50,0,1,0,0,1,1,55,40,Other moss-cush,-0.6501,-0.2024,-1.1444,44,0,0,44,0,0.184665149,0.111257143,-0.060156243,-0.0473,-0.80461,-0.00173,21.5,11.0,0.5
RMB,2017,17-Jan,1/24/2017,Bog,B02,B0202,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,0,none,none,1,1 to 2,NA,1,1 to 2,NA,"OC, PS",11:40:00,468,528,3,5,14,0,1,5,0,1,0,0,0,60,45,35,Sphagnum-other moss,-0.8802,-0.3973,0.1893,1,2,0,3,0,-0.156659442,-0.186470218,-0.016559013,0.559,0.02549,0.44642,47.5,31.0,5
RMB,2017,17-Jan,1/24/2017,Bog,B02,B0203,0,0,0,0,0,0,0,0,Decaying SPMA,Moss,NA,NA,NA,0,none,none,0,none,none,1,1 to 2,NA,"OC, PS",12:06:00,642,1037,35,37,36,0,0,0,0,5,0,0,0,100,1,0,Sphagnum,-0.6726,-0.406,0.4281,20,17,0,37,0,-0.019370267,0.106674616,0.139296646,1.1435,0.71771,0.09263,81.0,55.0,25
RMB,2017,17-Jan,1/24/2017,Bog,B02,B0204,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,0,none,none,1,1 to 2,NA,1,1 to 2,NA,"OC, PS",10:53:00,513,598,28,36,26,0,1,1,0,1,0,0,0,100,1,0,Sphagnum,-0.9392,-0.3807,0.5661,5,0,0,5,0,-0.014514337,-0.024476775,-0.002363263,1.2067,0.69537,0.0832,22.5,16.0,0.5
RMB,2017,17-Jan,1/29/2017,Bog,B03,B0301,3,3,2,1,2,1,1,0,Peat,Peat,NA,NA,NA,1,less than 1,1 to 2,1,less than 1,1 to 2,1,3 to 5,1 to 2,"OC, PS",11:19:00,1005,975,7,11,12,0,1,1,0,1,0,0,0,5,1,100,Cush,-1.1807,0.2421,-0.8144,12,0,0,12,0,0.005956217,-0.032126695,-0.049331203,0.6746,-0.99419,1.06723,47.0,45.5,0.5
RMB,2017,17-Jan,1/29/2017,Bog,B03,B0302,0,0,0,0,0,0,0,0,Peat,Peat,NA,NA,NA,0,none,none,1,less than 1,1 to 2,1,3 to 5,1 to 2,"OC, PS",11:18:00,1116,1095,12,14,3,0,1,1,0,1,0,0,0,1,1,100,Cush,-1.129,0.3923,-0.938,17,0,0,17,0,0.05145435,0.018282809,-0.044419833,0.634,-1.01808,1.10172,47.5,45.5,0.5
